input_id,source_id,"coordinates(rows,col)",porcentaje
images_tif/0_0-0.tif,dataset/data_512/images/images_tif/0_0-0.tif,"0-512,0-512",1.0
images_tif/0_0-512.tif,dataset/data_512/images/images_tif/0_0-512.tif,"512-1024,0-512",1.0
images_tif/0_0-1024.tif,dataset/data_512/images/images_tif/0_0-1024.tif,"1024-1536,0-512",1.0
images_tif/0_0-1536.tif,dataset/data_512/images/images_tif/0_0-1536.tif,"1536-2048,0-512",1.0
images_tif/0_0-2048.tif,dataset/data_512/images/images_tif/0_0-2048.tif,"2048-2560,0-512",1.0
images_tif/0_0-2560.tif,dataset/data_512/images/images_tif/0_0-2560.tif,"2560-3072,0-512",1.0
images_tif/0_0-3072.tif,dataset/data_512/images/images_tif/0_0-3072.tif,"3072-3584,0-512",1.0
images_tif/0_0-3584.tif,dataset/data_512/images/images_tif/0_0-3584.tif,"3584-4096,0-512",1.0
images_tif/0_0-4096.tif,dataset/data_512/images/images_tif/0_0-4096.tif,"4096-4608,0-512",1.0
images_tif/0_0-4608.tif,dataset/data_512/images/images_tif/0_0-4608.tif,"4608-5120,0-512",0.8264274597167969
images_tif/0_0-5120.tif,dataset/data_512/images/images_tif/0_0-5120.tif,"5120-5632,0-512",0.3018379211425781
images_tif/0_0-5632.tif,dataset/data_512/images/images_tif/0_0-5632.tif,"5632-6144,0-512",0.16499710083007812
images_tif/0_0-6144.tif,dataset/data_512/images/images_tif/0_0-6144.tif,"6144-6656,0-512",0.8088912963867188
images_tif/0_0-6656.tif,dataset/data_512/images/images_tif/0_0-6656.tif,"6656-7168,0-512",1.0
images_tif/0_0-7168.tif,dataset/data_512/images/images_tif/0_0-7168.tif,"7168-7680,0-512",1.0
images_tif/0_0-7680.tif,dataset/data_512/images/images_tif/0_0-7680.tif,"7680-8192,0-512",1.0
images_tif/0_0-8192.tif,dataset/data_512/images/images_tif/0_0-8192.tif,"8192-8704,0-512",1.0
images_tif/0_0-8704.tif,dataset/data_512/images/images_tif/0_0-8704.tif,"8704-9216,0-512",1.0
images_tif/0_0-9216.tif,dataset/data_512/images/images_tif/0_0-9216.tif,"9216-9728,0-512",1.0
images_tif/0_0-9728.tif,dataset/data_512/images/images_tif/0_0-9728.tif,"9728-10240,0-512",1.0
images_tif/0_0-10240.tif,dataset/data_512/images/images_tif/0_0-10240.tif,"10240-10752,0-512",1.0
images_tif/0_0-10752.tif,dataset/data_512/images/images_tif/0_0-10752.tif,"10752-11264,0-512",1.0
images_tif/0_0-11264.tif,dataset/data_512/images/images_tif/0_0-11264.tif,"11264-11776,0-512",1.0
images_tif/0_512-0.tif,dataset/data_512/images/images_tif/0_512-0.tif,"0-512,512-1024",1.0
images_tif/0_512-512.tif,dataset/data_512/images/images_tif/0_512-512.tif,"512-1024,512-1024",1.0
images_tif/0_512-1024.tif,dataset/data_512/images/images_tif/0_512-1024.tif,"1024-1536,512-1024",1.0
images_tif/0_512-1536.tif,dataset/data_512/images/images_tif/0_512-1536.tif,"1536-2048,512-1024",1.0
images_tif/0_512-2048.tif,dataset/data_512/images/images_tif/0_512-2048.tif,"2048-2560,512-1024",1.0
images_tif/0_512-2560.tif,dataset/data_512/images/images_tif/0_512-2560.tif,"2560-3072,512-1024",1.0
images_tif/0_512-3072.tif,dataset/data_512/images/images_tif/0_512-3072.tif,"3072-3584,512-1024",1.0
images_tif/0_512-3584.tif,dataset/data_512/images/images_tif/0_512-3584.tif,"3584-4096,512-1024",0.7736473083496094
images_tif/0_512-4096.tif,dataset/data_512/images/images_tif/0_512-4096.tif,"4096-4608,512-1024",0.37766265869140625
images_tif/0_512-4608.tif,dataset/data_512/images/images_tif/0_512-4608.tif,"4608-5120,512-1024",0.06641387939453125
images_tif/0_512-5120.tif,dataset/data_512/images/images_tif/0_512-5120.tif,"5120-5632,512-1024",0.0
images_tif/0_512-5632.tif,dataset/data_512/images/images_tif/0_512-5632.tif,"5632-6144,512-1024",0.0
images_tif/0_512-6144.tif,dataset/data_512/images/images_tif/0_512-6144.tif,"6144-6656,512-1024",0.095489501953125
images_tif/0_512-6656.tif,dataset/data_512/images/images_tif/0_512-6656.tif,"6656-7168,512-1024",0.4751434326171875
images_tif/0_512-7168.tif,dataset/data_512/images/images_tif/0_512-7168.tif,"7168-7680,512-1024",0.9102706909179688
images_tif/0_512-7680.tif,dataset/data_512/images/images_tif/0_512-7680.tif,"7680-8192,512-1024",1.0
images_tif/0_512-8192.tif,dataset/data_512/images/images_tif/0_512-8192.tif,"8192-8704,512-1024",1.0
images_tif/0_512-8704.tif,dataset/data_512/images/images_tif/0_512-8704.tif,"8704-9216,512-1024",1.0
images_tif/0_512-9216.tif,dataset/data_512/images/images_tif/0_512-9216.tif,"9216-9728,512-1024",1.0
images_tif/0_512-9728.tif,dataset/data_512/images/images_tif/0_512-9728.tif,"9728-10240,512-1024",1.0
images_tif/0_512-10240.tif,dataset/data_512/images/images_tif/0_512-10240.tif,"10240-10752,512-1024",1.0
images_tif/0_512-10752.tif,dataset/data_512/images/images_tif/0_512-10752.tif,"10752-11264,512-1024",1.0
images_tif/0_512-11264.tif,dataset/data_512/images/images_tif/0_512-11264.tif,"11264-11776,512-1024",1.0
images_tif/0_1024-0.tif,dataset/data_512/images/images_tif/0_1024-0.tif,"0-512,1024-1536",1.0
images_tif/0_1024-512.tif,dataset/data_512/images/images_tif/0_1024-512.tif,"512-1024,1024-1536",1.0
images_tif/0_1024-1024.tif,dataset/data_512/images/images_tif/0_1024-1024.tif,"1024-1536,1024-1536",1.0
