input_id,source_id,"coordinates(rows,col)"
masks_tif/0_0-0_a.tif,dataset/data_512/masks/masks_tif/0_0-0_a.tif,"0-512,0-512"
masks_tif/0_0-512_a.tif,dataset/data_512/masks/masks_tif/0_0-512_a.tif,"512-1024,0-512"
masks_tif/0_0-1024_a.tif,dataset/data_512/masks/masks_tif/0_0-1024_a.tif,"1024-1536,0-512"
masks_tif/0_0-1536_a.tif,dataset/data_512/masks/masks_tif/0_0-1536_a.tif,"1536-2048,0-512"
masks_tif/0_0-2048_a.tif,dataset/data_512/masks/masks_tif/0_0-2048_a.tif,"2048-2560,0-512"
masks_tif/0_0-2560_a.tif,dataset/data_512/masks/masks_tif/0_0-2560_a.tif,"2560-3072,0-512"
masks_tif/0_0-3072_a.tif,dataset/data_512/masks/masks_tif/0_0-3072_a.tif,"3072-3584,0-512"
masks_tif/0_0-3584_a.tif,dataset/data_512/masks/masks_tif/0_0-3584_a.tif,"3584-4096,0-512"
masks_tif/0_0-4096_a.tif,dataset/data_512/masks/masks_tif/0_0-4096_a.tif,"4096-4608,0-512"
masks_tif/0_0-4608_a.tif,dataset/data_512/masks/masks_tif/0_0-4608_a.tif,"4608-5120,0-512"
masks_tif/0_0-5120_a.tif,dataset/data_512/masks/masks_tif/0_0-5120_a.tif,"5120-5632,0-512"
masks_tif/0_0-5632_a.tif,dataset/data_512/masks/masks_tif/0_0-5632_a.tif,"5632-6144,0-512"
masks_tif/0_0-6144_a.tif,dataset/data_512/masks/masks_tif/0_0-6144_a.tif,"6144-6656,0-512"
masks_tif/0_0-6656_a.tif,dataset/data_512/masks/masks_tif/0_0-6656_a.tif,"6656-7168,0-512"
masks_tif/0_0-7168_a.tif,dataset/data_512/masks/masks_tif/0_0-7168_a.tif,"7168-7680,0-512"
masks_tif/0_0-7680_a.tif,dataset/data_512/masks/masks_tif/0_0-7680_a.tif,"7680-8192,0-512"
masks_tif/0_0-8192_a.tif,dataset/data_512/masks/masks_tif/0_0-8192_a.tif,"8192-8704,0-512"
masks_tif/0_0-8704_a.tif,dataset/data_512/masks/masks_tif/0_0-8704_a.tif,"8704-9216,0-512"
masks_tif/0_0-9216_a.tif,dataset/data_512/masks/masks_tif/0_0-9216_a.tif,"9216-9728,0-512"
masks_tif/0_0-9728_a.tif,dataset/data_512/masks/masks_tif/0_0-9728_a.tif,"9728-10240,0-512"
masks_tif/0_0-10240_a.tif,dataset/data_512/masks/masks_tif/0_0-10240_a.tif,"10240-10752,0-512"
masks_tif/0_0-10752_a.tif,dataset/data_512/masks/masks_tif/0_0-10752_a.tif,"10752-11264,0-512"
masks_tif/0_0-11264_a.tif,dataset/data_512/masks/masks_tif/0_0-11264_a.tif,"11264-11776,0-512"
masks_tif/0_512-0_a.tif,dataset/data_512/masks/masks_tif/0_512-0_a.tif,"0-512,512-1024"
masks_tif/0_512-512_a.tif,dataset/data_512/masks/masks_tif/0_512-512_a.tif,"512-1024,512-1024"
masks_tif/0_512-1024_a.tif,dataset/data_512/masks/masks_tif/0_512-1024_a.tif,"1024-1536,512-1024"
masks_tif/0_512-1536_a.tif,dataset/data_512/masks/masks_tif/0_512-1536_a.tif,"1536-2048,512-1024"
masks_tif/0_512-2048_a.tif,dataset/data_512/masks/masks_tif/0_512-2048_a.tif,"2048-2560,512-1024"
masks_tif/0_512-2560_a.tif,dataset/data_512/masks/masks_tif/0_512-2560_a.tif,"2560-3072,512-1024"
masks_tif/0_512-3072_a.tif,dataset/data_512/masks/masks_tif/0_512-3072_a.tif,"3072-3584,512-1024"
masks_tif/0_512-3584_a.tif,dataset/data_512/masks/masks_tif/0_512-3584_a.tif,"3584-4096,512-1024"
masks_tif/0_512-4096_a.tif,dataset/data_512/masks/masks_tif/0_512-4096_a.tif,"4096-4608,512-1024"
